#time acf 
0 1.51717 
0.005 1.49846 
0.01 1.48083 
0.015 1.45101 
0.02 1.40952 
0.025 1.35711 
0.03 1.29472 
0.035 1.22346 
0.04 1.14451 
0.045 1.05911 
0.05 0.968563 
0.055 0.881856 
0.06 0.784955 
0.065 0.686783 
0.07 0.588551 
0.075 0.491387 
0.08 0.396317 
0.085 0.304256 
0.09 0.215984 
0.095 0.132146 
0.1 0.0532742 
0.105 -0.0203955 
0.11 -0.0881013 
0.115 -0.149783 
0.12 -0.205296 
0.125 -0.254574 
0.13 -0.297644 
0.135 -0.334649 
0.14 -0.365808 
0.145 -0.391415 
0.15 -0.411812 
0.155 -0.426641 
0.16 -0.43774 
0.165 -0.44476 
0.17 -0.448082 
0.175 -0.44809 
0.18 -0.445157 
0.185 -0.439644 
0.19 -0.431893 
0.195 -0.422245 
0.2 -0.411034 
0.205 -0.397122 
0.21 -0.383659 
0.215 -0.369467 
0.22 -0.354787 
0.225 -0.33982 
0.23 -0.324753 
0.235 -0.309753 
0.24 -0.29497 
0.245 -0.280524 
0.25 -0.2665 
0.255 -0.25338 
0.26 -0.240461 
0.265 -0.22821 
0.27 -0.216684 
0.275 -0.205915 
0.28 -0.195925 
0.285 -0.186741 
0.29 -0.178373 
0.295 -0.170808 
0.3 -0.164014 
0.305 -0.158907 
0.31 -0.153442 
0.315 -0.148581 
0.32 -0.144311 
0.325 -0.140635 
0.33 -0.137555 
0.335 -0.135056 
0.34 -0.133102 
0.345 -0.13163 
0.35 -0.130529 
0.355 -0.129617 
0.36 -0.128919 
0.365 -0.128292 
0.37 -0.127682 
0.375 -0.12707 
0.38 -0.126454 
0.385 -0.125843 
0.39 -0.125242 
0.395 -0.124636 
0.4 -0.123963 
0.405 -0.122861 
0.41 -0.121846 
0.415 -0.120532 
0.42 -0.118816 
0.425 -0.116592 
0.43 -0.113768 
0.435 -0.110286 
0.44 -0.106136 
0.445 -0.101357 
0.45 -0.096014 
0.455 -0.0898388 
0.46 -0.0836349 
0.465 -0.0771741 
0.47 -0.0705968 
0.475 -0.064047 
0.48 -0.0576531 
0.485 -0.0515335 
0.49 -0.0458098 
0.495 -0.0405907 
0.5 -0.0359564 
0.505 -0.031977 
0.51 -0.0287295 
0.515 -0.0262772 
0.52 -0.0246594 
0.525 -0.0239078 
0.53 -0.0240354 
0.535 -0.0250077 
0.54 -0.0267272 
0.545 -0.0290633 
0.55 -0.0318932 
0.555 -0.0350987 
0.56 -0.0385422 
0.565 -0.0420925 
0.57 -0.045662 
0.575 -0.0491916 
0.58 -0.0526383 
0.585 -0.0559699 
0.59 -0.0591693 
0.595 -0.0622373 
0.6 -0.0651835 
0.605 -0.068038 
0.61 -0.0708437 
0.615 -0.0736388 
0.62 -0.0764385 
0.625 -0.0792248 
0.63 -0.0819591 
0.635 -0.084581 
0.64 -0.087007 
0.645 -0.0891425 
0.65 -0.0908893 
0.655 -0.09216 
0.66 -0.0929024 
0.665 -0.0930887 
0.67 -0.0927125 
0.675 -0.0918084 
0.68 -0.0904392 
0.685 -0.0886649 
0.69 -0.0865268 
0.695 -0.0840545 
0.7 -0.0812845 
0.705 -0.0782725 
0.71 -0.075075 
0.715 -0.0717422 
0.72 -0.0683259 
0.725 -0.0648895 
0.73 -0.0615146 
0.735 -0.0582871 
0.74 -0.0552811 
0.745 -0.0525276 
0.75 -0.0500142 
0.755 -0.0477066 
0.76 -0.0455491 
0.765 -0.0434807 
0.77 -0.0414254 
0.775 -0.0392843 
0.78 -0.0369579 
0.785 -0.0343715 
0.79 -0.0314713 
0.795 -0.0282179 
0.8 -0.0245829 
0.805 -0.0205739 
0.81 -0.0162453 
0.815 -0.0116735 
0.82 -0.0069559 
0.825 -0.00222072 
0.83 0.00237844 
0.835 0.0067059 
0.84 0.0106611 
0.845 0.0141673 
0.85 0.0171829 
0.855 0.0197173 
0.86 0.0218185 
0.865 0.0235547 
0.87 0.0250028 
0.875 0.026262 
0.88 0.0274476 
0.885 0.0286588 
0.89 0.0299642 
0.895 0.0314018 
0.9 0.0329794 
0.905 0.0346753 
0.91 0.0364517 
0.915 0.0382593 
0.92 0.0400341 
0.925 0.0417182 
0.93 0.0432409 
0.935 0.0445253 
0.94 0.0455026 
0.945 0.0461084 
0.95 0.0463058 
0.955 0.0460766 
0.96 0.0454254 
0.965 0.0443898 
0.97 0.0430151 
0.975 0.0413547 
0.98 0.0394849 
0.985 0.0374933 
0.99 0.0354912 
0.995 0.0336202 
