#Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
640.00	24.000	548.76	0.0018223	1724.2	1767.9	3.9110	3.1006	10.264	576.18	1.0228	63.116	0.43304	liquid
641.00	24.000	542.80	0.0018423	1734.2	1778.4	3.9273	3.1143	10.677	564.37	1.0738	62.419	0.42985	liquid
642.00	24.000	536.51	0.0018639	1744.6	1789.3	3.9443	3.1299	11.153	552.13	1.1297	61.689	0.42656	liquid
643.00	24.000	529.82	0.0018874	1755.4	1800.7	3.9621	3.1477	11.706	539.40	1.1910	60.919	0.42317	liquid
644.00	24.000	522.66	0.0019133	1766.8	1812.8	3.9808	3.1683	12.358	526.14	1.2590	60.104	0.41967	liquid
645.00	24.000	514.96	0.0019419	1778.9	1825.5	4.0005	3.1920	13.138	512.31	1.3347	59.235	0.41607	liquid
646.00	24.000	506.60	0.0019739	1791.7	1839.1	4.0216	3.2196	14.095	497.85	1.4200	58.301	0.41239	liquid
647.00	24.000	497.43	0.0020103	1805.5	1853.8	4.0443	3.2520	15.305	482.66	1.5173	57.287	0.40868	liquid
648.00	24.000	487.21	0.0020525	1820.6	1869.8	4.0691	3.2902	16.907	466.61	1.6305	56.171	0.40508	supercritical
649.00	24.000	475.57	0.0021027	1837.3	1887.8	4.0968	3.3357	19.159	449.51	1.7654	54.915	0.40186	supercritical
650.00	24.000	461.89	0.0021650	1856.6	1908.5	4.1287	3.3912	22.582	431.10	1.9310	53.458	0.39951	supercritical
651.00	24.000	445.02	0.0022471	1879.8	1933.7	4.1674	3.4626	28.234	411.12	2.1403	51.691	0.39877	supercritical
652.00	24.000	422.85	0.0023649	1909.6	1966.4	4.2176	3.5670	38.140	389.43	2.4099	49.416	0.40026	supercritical
653.00	24.000	391.52	0.0025541	1951.8	2013.1	4.2891	3.7511	57.968	365.52	2.7755	46.293	0.40665	supercritical
654.00	24.000	340.61	0.0029359	2023.0	2093.5	4.4121	4.0751	109.18	342.82	3.3392	41.467	0.42820	supercritical
655.00	24.000	279.69	0.0035754	2122.1	2207.9	4.5869	4.2124	97.964	351.17	3.8910	36.177	0.37960	supercritical
656.00	24.000	246.48	0.0040571	2187.5	2284.8	4.7044	4.0537	60.842	368.87	4.2079	33.589	0.31416	supercritical
657.00	24.000	227.25	0.0044005	2230.6	2336.2	4.7826	3.9048	43.852	382.37	4.4052	32.216	0.27584	supercritical
658.00	24.000	214.04	0.0046720	2263.0	2375.1	4.8418	3.7895	34.700	392.78	4.5435	31.339	0.25083	supercritical
659.00	24.000	204.07	0.0049002	2289.1	2406.7	4.8898	3.6976	29.011	401.28	4.6467	30.717	0.23285	supercritical
660.00	24.000	196.10	0.0050994	2311.3	2433.7	4.9307	3.6214	25.130	408.53	4.7270	30.248	0.21911	supercritical
661.00	24.000	189.48	0.0052777	2330.7	2457.3	4.9665	3.5561	22.306	414.90	4.7914	29.880	0.20812	supercritical
662.00	24.000	183.82	0.0054401	2348.0	2478.5	4.9985	3.4989	20.153	420.62	4.8442	29.583	0.19907	supercritical
663.00	24.000	178.89	0.0055900	2363.6	2497.8	5.0276	3.4477	18.453	425.83	4.8882	29.338	0.19142	supercritical
664.00	24.000	174.53	0.0057298	2378.0	2515.5	5.0544	3.4012	17.073	430.64	4.9252	29.132	0.18484	supercritical
665.00	24.000	170.62	0.0058610	2391.4	2532.0	5.0792	3.3586	15.928	435.11	4.9566	28.958	0.17909	supercritical
666.00	24.000	167.08	0.0059852	2403.8	2547.5	5.1024	3.3191	14.960	439.31	4.9834	28.809	0.17401	supercritical
667.00	24.000	163.85	0.0061032	2415.5	2562.0	5.1242	3.2822	14.131	443.27	5.0065	28.681	0.16948	supercritical
668.00	24.000	160.88	0.0062159	2426.6	2575.8	5.1448	3.2477	13.410	447.02	5.0263	28.570	0.16540	supercritical
669.00	24.000	158.13	0.0063238	2437.1	2588.8	5.1644	3.2150	12.778	450.60	5.0434	28.473	0.16170	supercritical
670.00	24.000	155.58	0.0064276	2447.1	2601.3	5.1830	3.1841	12.218	454.01	5.0580	28.389	0.15833	supercritical
671.00	24.000	153.20	0.0065276	2456.6	2613.3	5.2009	3.1548	11.717	457.29	5.0706	28.316	0.15523	supercritical
672.00	24.000	150.96	0.0066242	2465.8	2624.8	5.2180	3.1268	11.267	460.44	5.0813	28.252	0.15238	supercritical
673.00	24.000	148.86	0.0067178	2474.6	2635.8	5.2344	3.1000	10.860	463.47	5.0903	28.196	0.14975	supercritical
674.00	24.000	146.87	0.0068086	2483.1	2646.5	5.2503	3.0743	10.489	466.40	5.0978	28.147	0.14730	supercritical
675.00	24.000	145.00	0.0068968	2491.3	2656.8	5.2656	3.0497	10.151	469.23	5.1041	28.105	0.14502	supercritical
676.00	24.000	143.21	0.0069826	2499.2	2666.8	5.2804	3.0260	9.8392	471.97	5.1091	28.069	0.14288	supercritical
677.00	24.000	141.52	0.0070662	2506.9	2676.5	5.2947	3.0032	9.5520	474.64	5.1130	28.037	0.14089	supercritical
678.00	24.000	139.90	0.0071478	2514.4	2685.9	5.3086	2.9812	9.2862	477.22	5.1159	28.011	0.13901	supercritical
679.00	24.000	138.36	0.0072275	2521.6	2695.1	5.3221	2.9599	9.0393	479.74	5.1179	27.988	0.13725	supercritical
680.00	24.000	136.89	0.0073054	2528.7	2704.0	5.3352	2.9393	8.8092	482.19	5.1191	27.969	0.13558	supercritical
681.00	24.000	135.47	0.0073816	2535.6	2712.7	5.3480	2.9194	8.5943	484.58	5.1195	27.954	0.13401	supercritical
682.00	24.000	134.11	0.0074563	2542.3	2721.2	5.3605	2.9001	8.3930	486.91	5.1191	27.942	0.13252	supercritical
683.00	24.000	132.81	0.0075295	2548.8	2729.5	5.3726	2.8814	8.2040	489.19	5.1181	27.933	0.13111	supercritical
684.00	24.000	131.56	0.0076013	2555.2	2737.6	5.3845	2.8633	8.0261	491.41	5.1165	27.927	0.12977	supercritical
685.00	24.000	130.35	0.0076718	2561.4	2745.6	5.3961	2.8457	7.8584	493.59	5.1143	27.923	0.12850	supercritical
686.00	24.000	129.18	0.0077411	2567.6	2753.3	5.4074	2.8285	7.6999	495.72	5.1115	27.922	0.12729	supercritical
687.00	24.000	128.05	0.0078092	2573.6	2761.0	5.4186	2.8119	7.5499	497.81	5.1082	27.922	0.12613	supercritical
688.00	24.000	126.97	0.0078761	2579.4	2768.5	5.4294	2.7957	7.4077	499.86	5.1045	27.925	0.12503	supercritical
689.00	24.000	125.91	0.0079420	2585.2	2775.8	5.4401	2.7799	7.2727	501.86	5.1003	27.929	0.12398	supercritical
690.00	24.000	124.89	0.0080069	2590.8	2783.0	5.4505	2.7645	7.1443	503.83	5.0957	27.936	0.12297	supercritical
691.00	24.000	123.90	0.0080707	2596.4	2790.1	5.4608	2.7495	7.0220	505.76	5.0906	27.943	0.12201	supercritical
692.00	24.000	122.95	0.0081337	2601.8	2797.0	5.4709	2.7349	6.9055	507.66	5.0852	27.953	0.12109	supercritical
693.00	24.000	122.01	0.0081958	2607.2	2803.9	5.4808	2.7207	6.7942	509.53	5.0795	27.963	0.12021	supercritical
694.00	24.000	121.11	0.0082570	2612.5	2810.6	5.4905	2.7068	6.6878	511.36	5.0734	27.976	0.11936	supercritical
695.00	24.000	120.23	0.0083173	2617.7	2817.3	5.5000	2.6932	6.5860	513.17	5.0670	27.989	0.11855	supercritical
696.00	24.000	119.38	0.0083769	2622.8	2823.8	5.5094	2.6800	6.4885	514.94	5.0603	28.003	0.11777	supercritical
697.00	24.000	118.54	0.0084358	2627.8	2830.2	5.5187	2.6671	6.3950	516.69	5.0533	28.019	0.11703	supercritical
698.00	24.000	117.73	0.0084939	2632.7	2836.6	5.5278	2.6544	6.3052	518.41	5.0461	28.036	0.11631	supercritical
699.00	24.000	116.94	0.0085513	2637.6	2842.9	5.5368	2.6421	6.2190	520.11	5.0386	28.053	0.11561	supercritical
700.00	24.000	116.17	0.0086080	2642.4	2849.0	5.5456	2.6300	6.1362	521.78	5.0308	28.072	0.11495	supercritical
701.00	24.000	115.42	0.0086641	2647.2	2855.1	5.5543	2.6182	6.0564	523.42	5.0228	28.091	0.11431	supercritical
702.00	24.000	114.69	0.0087195	2651.9	2861.2	5.5629	2.6066	5.9796	525.04	5.0146	28.111	0.11369	supercritical
703.00	24.000	113.97	0.0087744	2656.5	2867.1	5.5713	2.5953	5.9056	526.64	5.0062	28.132	0.11310	supercritical
704.00	24.000	113.27	0.0088286	2661.1	2873.0	5.5797	2.5843	5.8342	528.22	4.9976	28.154	0.11252	supercritical
705.00	24.000	112.58	0.0088823	2665.6	2878.8	5.5879	2.5735	5.7653	529.78	4.9888	28.177	0.11197	supercritical
706.00	24.000	111.91	0.0089354	2670.0	2884.5	5.5960	2.5629	5.6988	531.32	4.9798	28.200	0.11144	supercritical
707.00	24.000	111.26	0.0089880	2674.5	2890.2	5.6040	2.5525	5.6346	532.83	4.9706	28.224	0.11092	supercritical
708.00	24.000	110.62	0.0090401	2678.8	2895.8	5.6120	2.5423	5.5724	534.33	4.9613	28.248	0.11043	supercritical
709.00	24.000	109.99	0.0090916	2683.1	2901.3	5.6198	2.5324	5.5123	535.81	4.9519	28.273	0.10995	supercritical
710.00	24.000	109.38	0.0091427	2687.4	2906.8	5.6275	2.5226	5.4541	537.28	4.9422	28.299	0.10949	supercritical
711.00	24.000	108.77	0.0091933	2691.6	2912.2	5.6352	2.5131	5.3977	538.72	4.9325	28.325	0.10904	supercritical
712.00	24.000	108.18	0.0092435	2695.7	2917.6	5.6427	2.5037	5.3431	540.15	4.9226	28.352	0.10861	supercritical
713.00	24.000	107.61	0.0092932	2699.9	2922.9	5.6502	2.4945	5.2901	541.56	4.9125	28.379	0.10819	supercritical
714.00	24.000	107.04	0.0093424	2703.9	2928.2	5.6575	2.4855	5.2387	542.95	4.9024	28.407	0.10779	supercritical
715.00	24.000	106.48	0.0093913	2708.0	2933.4	5.6648	2.4767	5.1889	544.33	4.8921	28.435	0.10740	supercritical
716.00	24.000	105.94	0.0094397	2712.0	2938.5	5.6721	2.4680	5.1405	545.70	4.8817	28.463	0.10702	supercritical
717.00	24.000	105.40	0.0094878	2716.0	2943.7	5.6792	2.4595	5.0935	547.05	4.8712	28.492	0.10666	supercritical
718.00	24.000	104.87	0.0095354	2719.9	2948.7	5.6863	2.4512	5.0478	548.39	4.8606	28.521	0.10631	supercritical
719.00	24.000	104.36	0.0095827	2723.8	2953.8	5.6933	2.4430	5.0034	549.71	4.8499	28.551	0.10596	supercritical
720.00	24.000	103.85	0.0096296	2727.6	2958.7	5.7002	2.4350	4.9602	551.02	4.8392	28.581	0.10564	supercritical
721.00	24.000	103.35	0.0096761	2731.5	2963.7	5.7070	2.4271	4.9182	552.31	4.8283	28.611	0.10532	supercritical
722.00	24.000	102.86	0.0097223	2735.2	2968.6	5.7138	2.4194	4.8773	553.59	4.8173	28.642	0.10501	supercritical
723.00	24.000	102.37	0.0097681	2739.0	2973.4	5.7205	2.4118	4.8375	554.86	4.8063	28.673	0.10471	supercritical
724.00	24.000	101.90	0.0098136	2742.7	2978.3	5.7272	2.4043	4.7987	556.12	4.7952	28.704	0.10442	supercritical
725.00	24.000	101.43	0.0098588	2746.4	2983.0	5.7338	2.3970	4.7610	557.36	4.7840	28.736	0.10414	supercritical
726.00	24.000	100.97	0.0099036	2750.1	2987.8	5.7403	2.3898	4.7242	558.60	4.7728	28.768	0.10387	supercritical
727.00	24.000	100.52	0.0099482	2753.7	2992.5	5.7468	2.3828	4.6883	559.82	4.7615	28.800	0.10361	supercritical
728.00	24.000	100.08	0.0099924	2757.3	2997.2	5.7532	2.3758	4.6533	561.03	4.7501	28.832	0.10336	supercritical
729.00	24.000	99.638	0.010036	2760.9	3001.8	5.7596	2.3690	4.6192	562.23	4.7386	28.865	0.10312	supercritical
730.00	24.000	99.206	0.010080	2764.5	3006.4	5.7659	2.3623	4.5859	563.42	4.7272	28.898	0.10288	supercritical
731.00	24.000	98.781	0.010123	2768.0	3011.0	5.7722	2.3558	4.5534	564.60	4.7156	28.931	0.10265	supercritical
732.00	24.000	98.363	0.010166	2771.5	3015.5	5.7784	2.3493	4.5217	565.77	4.7040	28.965	0.10243	supercritical
733.00	24.000	97.950	0.010209	2775.0	3020.0	5.7845	2.3430	4.4907	566.93	4.6924	28.998	0.10222	supercritical
734.00	24.000	97.544	0.010252	2778.4	3024.5	5.7906	2.3367	4.4604	568.07	4.6807	29.032	0.10201	supercritical
735.00	24.000	97.143	0.010294	2781.9	3028.9	5.7967	2.3306	4.4309	569.21	4.6690	29.066	0.10181	supercritical
736.00	24.000	96.748	0.010336	2785.3	3033.3	5.8027	2.3246	4.4020	570.34	4.6572	29.100	0.10162	supercritical
737.00	24.000	96.359	0.010378	2788.7	3037.7	5.8086	2.3186	4.3737	571.46	4.6454	29.134	0.10143	supercritical
738.00	24.000	95.975	0.010419	2792.0	3042.1	5.8146	2.3128	4.3461	572.57	4.6336	29.169	0.10125	supercritical
739.00	24.000	95.596	0.010461	2795.4	3046.4	5.8204	2.3071	4.3191	573.68	4.6217	29.204	0.10108	supercritical
740.00	24.000	95.222	0.010502	2798.7	3050.7	5.8262	2.3015	4.2927	574.77	4.6098	29.239	0.10091	supercritical
741.00	24.000	94.853	0.010543	2802.0	3055.0	5.8320	2.2959	4.2668	575.86	4.5979	29.274	0.10075	supercritical
742.00	24.000	94.490	0.010583	2805.3	3059.3	5.8378	2.2905	4.2415	576.93	4.5860	29.309	0.10059	supercritical
743.00	24.000	94.131	0.010624	2808.5	3063.5	5.8435	2.2851	4.2168	578.00	4.5740	29.344	0.10044	supercritical
744.00	24.000	93.776	0.010664	2811.8	3067.7	5.8491	2.2799	4.1926	579.06	4.5620	29.380	0.10030	supercritical
745.00	24.000	93.426	0.010704	2815.0	3071.9	5.8547	2.2747	4.1688	580.12	4.5500	29.415	0.10016	supercritical
746.00	24.000	93.081	0.010743	2818.2	3076.0	5.8603	2.2696	4.1456	581.16	4.5380	29.451	0.10002	supercritical
747.00	24.000	92.740	0.010783	2821.4	3080.2	5.8658	2.2646	4.1228	582.20	4.5259	29.487	0.099893	supercritical
748.00	24.000	92.403	0.010822	2824.5	3084.3	5.8713	2.2597	4.1005	583.23	4.5139	29.523	0.099768	supercritical
749.00	24.000	92.070	0.010861	2827.7	3088.4	5.8768	2.2548	4.0787	584.25	4.5018	29.559	0.099648	supercritical
750.00	24.000	91.741	0.010900	2830.8	3092.4	5.8822	2.2500	4.0572	585.27	4.4897	29.595	0.099532	supercritical
