#Temperature (K)	Pressure (MPa)	Quality (l+v)	Internal Energy (l+v, kJ/kg)	Enthalpy (l+v, kJ/kg)	Entropy (l+v, J/g*K)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/kg)	Enthalpy (l, kJ/kg)	Entropy (l, J/g*K)	Cv (l, J/g*K)	Cp (l, J/g*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/kg)	Enthalpy (v, kJ/kg)	Entropy (v, J/g*K)	Cv (v, J/g*K)	Cp (v, J/g*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
640.00	20.265	0.19646	1894.3	1950.6	4.2075	481.53	0.0020767	1799.7	1841.8	4.0375	3.5815	25.942	400.66	1.9542	55.247	0.41493	177.15	0.0056451	2281.1	2395.5	4.9027	4.3061	52.586	379.64	5.3854	27.938	0.25001
641.00	20.509	0.19967	1903.3	1960.3	4.2216	473.01	0.0021141	1812.5	1855.9	4.0587	3.6477	29.607	388.55	2.0643	54.338	0.41553	183.90	0.0054379	2267.1	2378.6	4.8742	4.3728	61.335	375.08	5.2606	28.405	0.26761
642.00	20.756	0.20268	1912.5	1970.1	4.2359	463.67	0.0021567	1826.4	1871.1	4.0817	3.7256	34.929	375.90	2.1894	53.351	0.41800	191.53	0.0052211	2251.3	2359.7	4.8427	4.4520	73.787	369.90	5.1250	28.941	0.28965
643.00	21.006	0.20511	1921.9	1980.3	4.2506	453.14	0.0022068	1841.6	1888.0	4.1071	3.8220	43.427	362.10	2.3364	52.248	0.42375	200.38	0.0049906	2233.2	2338.1	4.8070	4.5496	92.842	363.84	4.9748	29.573	0.31864
644.00	21.259	0.20595	1931.8	1990.8	4.2659	440.73	0.0022689	1859.1	1907.4	4.1363	3.9543	58.910	346.01	2.5175	50.962	0.43573	210.99	0.0047395	2211.8	2312.6	4.7655	4.6763	125.31	356.41	4.8041	30.345	0.35957
645.00	21.515	0.20218	1942.1	2001.9	4.2819	425.05	0.0023527	1880.5	1931.1	4.1722	4.1673	93.350	325.47	2.7545	49.357	0.46136	224.45	0.0044553	2185.2	2281.0	4.7147	4.8543	191.32	346.60	4.6025	31.348	0.42459
646.00	21.775	0.18215	1953.0	2013.5	4.2988	402.96	0.0024816	1909.5	1963.5	4.2214	4.5943	204.58	297.13	3.0844	48.022	0.52804	243.46	0.0041074	2148.6	2238.1	4.6465	5.1457	385.23	331.61	4.3487	33.248	0.55611
647.00	22.039	undefined	1964.5	2025.7	4.3166	360.00	0.0027778	1964.5	2025.7	4.3166	6.0373	2665.0	254.95	3.5617	46.723	1.1435	360.00	0.0027778	1964.5	2025.7	4.3166	6.0373	2665.0	254.95	3.5617	46.723	1.1435
648.00	22.322	undefined	1970.0	2032.0	4.3251	360.00	0.0027778	1970.0	2032.0	4.3251	5.1944	538.37	282.23	3.4543	44.784	0.66638	360.00	0.0027778	1970.0	2032.0	4.3251	5.1944	538.37	282.23	3.4543	44.784	0.66638
649.00	22.611	undefined	1975.0	2037.8	4.3328	360.00	0.0027778	1975.0	2037.8	4.3328	4.8266	291.06	298.21	3.3777	44.070	0.55906	360.00	0.0027778	1975.0	2037.8	4.3328	4.8266	291.06	298.21	3.3777	44.070	0.55906
